theta1,theta2,theta3,theta4,theta5,dtheta1,dtheta2,dtheta3,dtheta4,dtheta5,ddtheta1,ddtheta2,ddtheta3,ddtheta4,ddtheta5,Re_1x,Re_1y,Re_2x,Re_2y,Re_3x,Re_3y,Re_4x,Re_4y,Re_5x,Re_5y
2.1517,3.29945,-0.683219,3.93093,-0.475097,-7.2689,-0.519649,-2.46527,2.41401,-1.21883,-56.1298,-2.13799,-13.2424,6.75553,-1.76934,4.31466,-2.70688,-1.79412,-1.63128,-1.77458,-2.23763,1.9058,-0.426514,-0.599741,-0.251638
2.07636,3.29412,-0.708489,3.9554,-0.487374,-7.78279,-0.548174,-2.58429,2.47848,-1.23637,-59.8356,-1.42655,-14.23,6.97053,-1.78022,4.56016,-3.67305,-2.01264,-1.74061,-2.03524,-2.15041,1.99911,-0.331832,-0.614928,-0.241286
1.99572,3.28853,-0.734996,3.98052,-0.499826,-8.32843,-0.571802,-2.71228,2.54501,-1.25401,-63.7952,-0.519437,-15.2775,7.19111,-1.79134,4.72116,-4.83919,-2.2565,-1.87046,-2.32615,-2.02859,2.09432,-0.226786,-0.630241,-0.230431
1.90944,3.28274,-0.762832,4.00632,-0.512455,-8.90926,-0.589027,-2.84984,2.61366,-1.27176,-67.8594,0.621752,-16.383,7.41704,-1.80272,4.74461,-6.23451,-2.52735,-2.02429,-2.64868,-1.86474,2.19098,-0.110534,-0.64567,-0.219057
1.81715,3.27683,-0.792095,4.03282,-0.525263,-9.52802,-0.598041,-2.99758,2.68449,-1.28962,-71.787,2.04161,-17.5427,7.648,-1.81435,4.55706,-7.8818,-2.82632,-2.20616,-3.00358,-1.65023,2.28854,0.0178019,-0.661207,-0.207146
1.71848,3.27089,-0.822892,4.06003,-0.538249,-10.1863,-0.596675,-3.15607,2.75755,-1.30759,-75.2147,3.79159,-18.7509,7.88363,-1.82626,4.0611,-9.78837,-3.1537,-2.42078,-3.39072,-1.3752,2.38635,0.159129,-0.676841,-0.194683
1.61303,3.26503,-0.855331,4.08799,-0.551416,-10.8834,-0.582343,-3.32588,2.83289,-1.32568,-77.623,5.93056,-19.9995,8.12351,-1.83843,3.13442,-11.9324,-3.50839,-2.67358,-3.8087,-1.02846,2.48365,0.314379,-0.692562,-0.181649
1.50045,3.2594,-0.889529,4.11672,-0.564765,-11.6159,-0.551978,-3.5075,2.91057,-1.34388,-78.305,8.52512,-21.277,8.36714,-1.85089,1.63495,-14.2439,-3.88719,-2.9708,-4.25445,-0.597522,2.57954,0.484496,-0.708359,-0.168028
1.38044,3.25418,-0.925605,4.14623,-0.578296,-12.3756,-0.501958,-3.70137,2.99062,-1.36221,-76.3459,11.6495,-22.5687,8.61393,-1.86363,-0.583329,-16.5829,-4.2838,-3.31955,-4.72275,-0.0687102,2.67296,0.670429,-0.724218,-0.153802
1.25281,3.2496,-0.963684,4.17655,-0.59201,-13.1479,-0.428036,-3.90783,3.07308,-1.38065,-70.6308,15.3851,-23.8556,8.86321,-1.87667,-3.63804,-18.7172,-4.68745,-3.72779,-5.20562,0.57262,2.76271,0.873119,-0.740128,-0.138952
1.11757,3.24591,-1.00389,4.20772,-0.60591,-13.9105,-0.325259,-4.12708,3.158,-1.39923,-59.9056,19.8183,-25.1137,9.11422,-1.89001,-7.56511,-20.313,-5.08108,-4.20414,-5.69167,1.34168,2.84741,1.09348,-0.756075,-0.12346
0.975017,3.24344,-1.04635,4.23974,-0.619997,-14.6308,-0.187902,-4.35915,3.24539,-1.41793,-42.9221,25.0378,-26.3137,9.36609,-1.90366,-12.2458,-20.9524,-5.43888,-4.75751,-6.16542,2.25359,2.92548,1.33238,-0.772044,-0.107307
0.825814,3.24257,-1.0912,4.27265,-0.634271,-15.2647,-0.00940831,-4.60385,3.33529,-1.43676,-18.6989,31.1289,-27.4205,9.61785,-1.91763,-17.3285,-20.199,-5.72324,-5.39627,-6.60663,3.3225,2.99516,1.59062,-0.78802,-0.0904737
0.671138,3.24374,-1.13856,4.30647,-0.648734,-15.7564,0.21764,-4.86074,3.42769,-1.45573,13.087,38.1651,-28.3921,9.86841,-1.93192,-22.1797,-17.7249,-5.88087,-6.12659,-6.9897,4.56028,3.05446,1.8689,-0.803987,-0.0729413
